id,agency_id,name,order,url
#
# contains the feed_id (id) and agency_id (from GTFS), plus the following:
# pretty agency name (for OTP-RR app), agency sorting (route list), logo url
#
# https://www.multco.us/transit -and- https://ecoshuttle.com/
# https://rideclackamas.org/provider/clackco - SAM, SMART, etc.. with trip planner
# https://nwconnector.org/  - CCRIDER and other agencies
# https://gorgepass.com/about/ -and- https://gorgetranslink.com/
# https://www.oregon-gtfs.com/
#
CANBY,227,Canby Area Transit,200,https://www.canbyoregon.gov/sites/default/files/styles/full_node_primary/public/imageattachments/area-transit/page/26223/2-tone_vertical_logo.jpg
CANBYFERRY,1731,Canby Ferry,220,https://www.canbyoregon.gov/sites/default/files/styles/full_node_primary/public/imageattachments/area-transit/page/26223/2-tone_vertical_logo.jpg
CAT,37,Columbia Area Transit,300,https://gorgetranslink.com/wp-content/uploads/2019/03/CAT-Purple-tiny-for-website2-300x292.png
CCRIDER,57,Columbia County Rider,,https://nwconnector.org/wp-content/uploads/2017/03/output-onlinepngtools-1.png
CHERRIOTS,cherriots-salem-or-us,Cherriots,50,https://www.cherriots.org/static/cherriots/images/logo.png
CLACKAMAS,1807,Clackamas County,22,https://rideclackamas.org/wp-content/uploads/2023/05/logo-clackco.png
CTRAN,C-TRAN,C-TRAN,10,https://d2tyb7byn1fef9.cloudfront.net/ctran.png
MATS,1815,Mt. Adams Transportation Service,400,https://gorgetranslink.com/wp-content/uploads/2019/03/mt-adams-transportation-district.png
MULT,162,Multnomah Co. Transit,7,https://multco-web7-psh-files-usw2.s3-us-west-2.amazonaws.com/s3fs-public/styles/small/s3/Access_Shuttle_Logo.jpg
RIDECONNECTION,133,Ride Connection,24,https://rideconnection.org/assets/images/_template/rc_logo.svg
SAM,86,Sandy Area Metro,40,https://rideclackamas.org/wp-content/uploads/2023/05/logo-sam.png
SAM,188,Mt. Hood Express,40,https://rideclackamas.org/wp-content/uploads/2023/05/logo-mhx.png
SCTD,473,South Clackamas Transit District,100,https://rideclackamas.org/wp-content/uploads/2023/05/logo-sctd.png
SKAMANIA,1814,Skamania County Transit,400,https://gorgetranslink.com/wp-content/uploads/2019/03/skamania-county-transit-rev.png
SMART,214,SMART,15,https://rideclackamas.org/wp-content/uploads/2023/05/logo-smart.png
TRIMET,TRIMET,TriMet,1,http://news.trimet.org/wordpress/wp-content/uploads/2019/04/TriMet-logo-300x300.png
TRIMET,TRAM,Portland Aerial Tram,1,https://d2tyb7byn1fef9.cloudfront.net/tram.png
TRIMET,PSC,Portland Streetcar,1,https://d2tyb7byn1fef9.cloudfront.net/psc.png
WAPARK,501,Washington Park Shuttle,5,https://explorewashingtonpark.org/wp-content/uploads/2021/05/ewp-logo.png
WOODBURN,129,Woodburn Transit,350,https://www.woodburn-or.gov/sites/default/files/styles/full_node_primary_extra_wide/public/imageattachments/transit/page/1161/transit_banner_2.png
YAMHILL,1,Yamhill County Transit Area,30,https://ycbus.org/wp-content/uploads/2021/11/YCT21-0913-Anniversary-Logo_FullColor-269x300.png
