"TRIMET_ID","AGENCY_DESC","AGENCY_ID_TRANS","FEED_ID"
35,"Ride Cxn",14,"RIDECONNECTION"
501,"Ride Cxn",14,"RIDECONNECTION"
1026,"C-Tran",1,"CTRAN"
1241,"Mult Co",15,"MULT"
1351,"Clack Co",13,"CLACKAMAS"
1385,"Clack Co",13,"CLACKAMAS"
1404,"Clack Co",13,"CLACKAMAS"
1555,"SAM",3,"SAM"
1556,"SAM",3,"SAM"
1557,"SAM",3,"SAM"
1558,"SAM",3,"SAM"
1559,"SAM",3,"SAM"
1560,"SAM",3,"SAM"
1561,"SAM",3,"SAM"
1562,"SAM",3,"SAM"
1563,"SAM",3,"SAM"
1564,"SAM",3,"SAM"
1565,"SAM",3,"SAM"
1566,"SAM",3,"SAM"
1567,"SAM",3,"SAM"
1568,"SAM",3,"SAM"
1624,"WPTMA",7,"WAPARK"
2837,"Clack Co",13,"CLACKAMAS"
2841,"Clack Co",13,"CLACKAMAS"
2868,"Clack Co",13,"CLACKAMAS"
2888,"Clack Co",13,"CLACKAMAS"
2891,"Clack Co",13,"CLACKAMAS"
3020,"Clack Co",13,"CLACKAMAS"
3024,"Clack Co",13,"CLACKAMAS"
3147,"Mult Co",15,"MULT"
3148,"Mult Co",15,"MULT"
3210,"Mult Co",15,"MULT"
3277,"WPTMA",7,"WAPARK"
3291,"WPTMA",7,"WAPARK"
3410,"Clack Co",13,"CLACKAMAS"
3414,"Clack Co",13,"CLACKAMAS"
3720,"SAM",3,"SAM"
3778,"Ride Cxn",14,"RIDECONNECTION"
3842,"Clack Co",13,"CLACKAMAS"
3990,"Clack Co",13,"CLACKAMAS"
3994,"Clack Co",13,"CLACKAMAS"
4260,"YCTA",6,"YAMHILL"
4289,"Ride Cxn",14,"RIDECONNECTION"
4316,"YCTA",6,"YAMHILL"
4351,"WPTMA",7,"WAPARK"
4518,"SAM",3,"SAM"
4520,"SAM",3,"SAM"
4521,"SAM",3,"SAM"
4528,"SAM",3,"SAM"
4529,"SAM",3,"SAM"
4531,"SAM",3,"SAM"
4545,"SAM",3,"SAM"
4546,"SAM",3,"SAM"
4638,"SAM",3,"SAM"
4639,"SAM",3,"SAM"
4770,"Mult Co",15,"MULT"
5027,"C-Tran",1,"CTRAN"
5028,"C-Tran",1,"CTRAN"
5032,"C-Tran",1,"CTRAN"
5359,"CC Rider",5,"CCRIDER"
5975,"C-Tran",1,"CTRAN"
6114,"Clack Co",13,"CLACKAMAS"
6115,"Clack Co",13,"CLACKAMAS"
6121,"Clack Co",13,"CLACKAMAS"
6458,"CC Rider",5,"CCRIDER"
7602,"C-Tran",1,"CTRAN"
7612,"C-Tran",1,"CTRAN"
7620,"Clack Co",13,"CLACKAMAS"
7625,"C-Tran",1,"CTRAN"
7745,"SAM",3,"SAM"
7750,"SAM",3,"SAM"
7765,"C-Tran",1,"CTRAN"
7770,"SAM",3,"SAM"
7772,"C-Tran",1,"CTRAN"
7782,"C-Tran",1,"CTRAN"
7807,"C-Tran",1,"CTRAN"
8071,"Clack Co",13,"CLACKAMAS"
8073,"Clack Co",13,"CLACKAMAS"
8079,"Clack Co",13,"CLACKAMAS"
8082,"Clack Co",13,"CLACKAMAS"
8083,"Clack Co",13,"CLACKAMAS"
8084,"Clack Co",13,"CLACKAMAS"
8086,"Clack Co",13,"CLACKAMAS"
8249,"Ride Cxn",14,"RIDECONNECTION"
8285,"Ride Cxn",14,"RIDECONNECTION"
8315,"SAM",3,"SAM"
8430,"Clack Co",13,"CLACKAMAS"
8437,"CC Rider",5,"CCRIDER"
8442,"SAM",3,"SAM"
8455,"C-Tran",1,"CTRAN"
8461,"SAM",3,"SAM"
8685,"SAM",3,"SAM"
8722,"SAM",3,"SAM"
8723,"SAM",3,"SAM"
8838,"SAM",3,"SAM"
8857,"SAM",3,"SAM"
8886,"C-Tran",1,"CTRAN"
8993,"SAM",3,"SAM"
8995,"SAM",3,"SAM"
9005,"Clack Co",13,"CLACKAMAS"
9042,"Clack Co",13,"CLACKAMAS"
9105,"Mult Co",15,"MULT"
9106,"Mult Co",15,"MULT"
9301,"C-Tran",1,"CTRAN"
9430,"SAM",3,"SAM"
9472,"CAT (Gorge)",11,"CAT"
9481,"CAT (Gorge)",11,"CAT"
9484,"SMART",2,"SMART"
9488,"C-Tran",1,"CTRAN"
9517,"Clack Co",13,"CLACKAMAS"
9520,"SAM",3,"SAM"
9521,"SAM",3,"SAM"
9561,"SAM",3,"SAM"
9562,"SAM",3,"SAM"
9619,"Mult Co",15,"MULT"
9923,"Ride Cxn",14,"RIDECONNECTION"
10138,"SAM",3,"SAM"
10139,"SAM",3,"SAM"
10191,"CAT (Gorge)",11,"CAT"
10214,"SAM",3,"SAM"
10216,"SAM",3,"SAM"
10234,"Clack Co",13,"CLACKAMAS"
10235,"Clack Co",13,"CLACKAMAS"
10275,"SAM",3,"SAM"
10300,"WPTMA",7,"WAPARK"
10612,"C-Tran",1,"CTRAN"
10642,"C-Tran",1,"CTRAN"
10732,"Mult Co",15,"MULT"
10733,"Mult Co",15,"MULT"
10734,"Mult Co",15,"MULT"
10835,"SAM",3,"SAM"
10836,"SAM",3,"SAM"
10856,"C-Tran",1,"CTRAN"
10856,"Mult Co",15,"MULT"
10859,"SAM",3,"SAM"
11009,"Mult Co",15,"MULT"
11091,"WPTMA",7,"WAPARK"
11151,"WPTMA",7,"WAPARK"
11453,"SAM",3,"SAM"
11454,"SAM",3,"SAM"
11490,"CC Rider",5,"CCRIDER"
11520,"SAM",3,"SAM"
11814,"C-Tran",1,"CTRAN"
11932,"Clack Co",13,"CLACKAMAS"
12754,"CC Rider",5,"CCRIDER"
12919,"C-Tran",1,"CTRAN"
12921,"SAM",3,"SAM"
12922,"SAM",3,"SAM"
13033,"SAM",3,"SAM"
13077,"SAM",3,"SAM"
